Timestamp,Which age group do you belong to? ,  What is your gender?  ,What is your level of education? ,What is your primary occupation ?,"How many hours in a day, on average, do you spend in front of screens?",Which device do you use most frequently?,Which activity do you dedicate most of your screen time to?  ,Which app category do you use the most during your screen time?,During which part of the day do you spend most of your screen time?,What kind of environment helps you stay productive during screen use?,"After spending a long time in front of screens to complete a certain task, how do you generally feel about your productivity?",How long can you generally stay focused on a single screen-based task without distractions?,"How do you try to stay focused while working on a complex task (e.g, coding)?","While working on a screen-based task, how do you handle frequent notifications which distract you?",Does your attention span vary based on the type of task?,Do you use tools/apps to monitor or manage your screen time?,Did you struggle with your attention while filling out this survey? :)
11/27/2024 18:40:05,Below 18,Male,Undergraduate,Student,4–6,Smartphone,"Entertainment (gaming, streaming, social media, etc.)","Social Media (e.g., Facebook, Instagram, LinkedIn, Twitter)",Afternoon (12 PM–6 PM),Quite workplace,"Extremely productive, i efficiently complete my tasks",More than 1 hour,"None, i prefer to work without any strategies",Ignore them until my task is completed,"No, it remains consistent","No, i do not use them",No
11/27/2024 18:40:20,18–24,Male,Undergraduate,Freelance/Entrepreneur,4–6,Smartphone,"Entertainment (gaming, streaming, social media, etc.)","Social Media (e.g., Facebook, Instagram, LinkedIn, Twitter)",Late night (10 PM–6 AM),Quite workplace,Moderately productive,10–30 minutes,Take regular breaks,Ignore them until my task is completed,"No, it remains consistent","Yes, they are extremely helpful",I won't say
11/27/2024 18:42:32,18–24,Male,High school or below,Student,6–8,Smartphone,"Entertainment (gaming, streaming, social media, etc.)","Social Media (e.g., Facebook, Instagram, LinkedIn, Twitter)",Afternoon (12 PM–6 PM),I can work in any environment,"Unproductive, i might not have completed the task and got carried away",10–30 minutes,"None, i prefer to work without any strategies",Check them briefly and resume my work,"No, it remains consistent","No, i do not use them",I won't say
11/27/2024 18:43:58,Below 18,Male,High school or below,Student,4–6,Tablet,"Entertainment (gaming, streaming, social media, etc.)","Social Media (e.g., Facebook, Instagram, LinkedIn, Twitter)",Evening (6 PM–10 PM),Background noise/music,"Extremely productive, i efficiently complete my tasks",More than 1 hour,Eliminate all distractions,Ignore them until my task is completed,"Yes, better/worse for creative tasks (e.g., writing, designing)","No, i do not use them",No
11/27/2024 18:49:06,18–24,Male,Undergraduate,Student,2–4,Smartphone,insta,"Social Media (e.g., Facebook, Instagram, LinkedIn, Twitter)",Late night (10 PM–6 AM),Quite workplace,"Extremely productive, i efficiently complete my tasks",10–30 minutes,Take regular breaks,Turn off notifications altogether,"No, it remains consistent","Yes, they are extremely helpful",No
11/27/2024 18:49:34,18–24,Male,Intermediate ,Student,4–6,Smartphone,"Entertainment (gaming, streaming, social media, etc.)","Social Media (e.g., Facebook, Instagram, LinkedIn, Twitter)",Evening (6 PM–10 PM),Quite workplace,"Extremely productive, i efficiently complete my tasks",30–60 minutes,Eliminate all distractions,Turn off notifications altogether,"No, it remains consistent","Yes, they are extremely helpful",No
11/27/2024 19:01:14,Below 18,Male,Undergraduate,Professional,More than 10,Smartphone,Academic/Work-related,"Productivity (e.g., Microsoft Office, Notion)",Late night (10 PM–6 AM),Background noise/music,"Extremely productive, i efficiently complete my tasks",More than 1 hour,"None, i prefer to work without any strategies",Turn off notifications altogether,"Yes, better/worse for creative tasks (e.g., writing, designing)","Yes, but i did not find them of any help",No
11/27/2024 19:03:18,18–24,Prefer not to say,Undergraduate,Student,4–6,Smartphone,Both,Messaging and streaming ,Evening (6 PM–10 PM),Quite workplace,Moderately productive,Less than 10 minutes,Take regular breaks,Check them briefly and resume my work,"Yes, better/worse for creative tasks (e.g., writing, designing)","No, i do not use them",I won't say
11/27/2024 19:04:49,Below 18,Male,High school or below,Student,2–4,Smartphone,"Entertainment (gaming, streaming, social media, etc.)","Streaming (e.g., YouTube, Netflix)",Evening (6 PM–10 PM),I can work in any environment,Moderately productive,More than 1 hour,"None, i prefer to work without any strategies",Ignore them until my task is completed,"No, it remains consistent","No, i do not use them",No
11/27/2024 19:10:08,Below 18,Male,Undergraduate,Student,4–6,Smartphone,"Entertainment (gaming, streaming, social media, etc.)","Social Media (e.g., Facebook, Instagram, LinkedIn, Twitter)",Late night (10 PM–6 AM),I can work in any environment,"Unproductive, i might not have completed the task and got carried away",30–60 minutes,"None, i prefer to work without any strategies",Check them briefly and resume my work,"Yes, better/worse for repetitive tasks (e.g., data entry)","No, i do not use them",I won't say
11/27/2024 19:27:46,18–24,Male,Undergraduate,Student,8-10,Smartphone,"Entertainment (gaming, streaming, social media, etc.)","Social Media (e.g., Facebook, Instagram, LinkedIn, Twitter)",Afternoon (12 PM–6 PM),I can work in any environment,Moderately productive,10–30 minutes,Take regular breaks,Ignore them until my task is completed,"Yes, better/worse for creative tasks (e.g., writing, designing)","No, i do not use them",Yes
11/27/2024 19:55:52,Below 18,Male,High school or below,Student,6–8,Smartphone,"Entertainment (gaming, streaming, social media, etc.)","Social Media (e.g., Facebook, Instagram, LinkedIn, Twitter)",Evening (6 PM–10 PM),I can work in any environment,"Extremely productive, i efficiently complete my tasks",30–60 minutes,"None, i prefer to work without any strategies",Turn off notifications altogether,"Yes, better/worse for creative tasks (e.g., writing, designing)","Yes, they are extremely helpful",No
11/27/2024 20:03:06,Below 18,Male,High school or below,Student,6–8,Laptop/PC,"Entertainment (gaming, streaming, social media, etc.)","Social Media (e.g., Facebook, Instagram, LinkedIn, Twitter)",Evening (6 PM–10 PM),Collaborative/team setting,Moderately productive,30–60 minutes,Take regular breaks,Check them briefly and resume my work,"Yes, better/worse for creative tasks (e.g., writing, designing)","No, i do not use them",No
11/27/2024 20:05:03,Below 18,Male,High school or below,Student,4–6,Smartphone,"Entertainment (gaming, streaming, social media, etc.)","Social Media (e.g., Facebook, Instagram, LinkedIn, Twitter)",Evening (6 PM–10 PM),I can work in any environment,Moderately productive,Less than 10 minutes,Take regular breaks,Turn off notifications altogether,"No, it remains consistent","No, i do not use them",No
11/27/2024 20:10:25,18–24,Prefer not to say,Undergraduate,Student,6–8,Smartphone,"Entertainment (gaming, streaming, social media, etc.)","Social Media (e.g., Facebook, Instagram, LinkedIn, Twitter)",Evening (6 PM–10 PM),Quite workplace,"Unproductive, i might not have completed the task and got carried away",10–30 minutes,Eliminate all distractions,Spend time interacting with the notifications,"Yes, better/worse for analytical tasks (e.g., problem-solving, coding)","No, i do not use them",No
11/27/2024 20:16:23,18–24,Male,Undergraduate,Student,4–6,Smartphone,"Entertainment (gaming, streaming, social media, etc.)","Social Media (e.g., Facebook, Instagram, LinkedIn, Twitter)",Late night (10 PM–6 AM),Quite workplace,"Unproductive, i might not have completed the task and got carried away",More than 1 hour,"None, i prefer to work without any strategies",Spend time interacting with the notifications,"Yes, better/worse for creative tasks (e.g., writing, designing)","No, i do not use them",Yes
11/27/2024 20:21:48,18–24,Male,High school or below,Student,More than 10,Smartphone,"Entertainment (gaming, streaming, social media, etc.)","Social Media (e.g., Facebook, Instagram, LinkedIn, Twitter)",Evening (6 PM–10 PM),I can work in any environment,Moderately productive,More than 1 hour,"None, i prefer to work without any strategies",Turn off notifications altogether,"No, it remains consistent","No, i do not use them",No
11/27/2024 20:29:25,18–24,Male,High school or below,Student,6–8,Laptop/PC,"Entertainment (gaming, streaming, social media, etc.)","Streaming (e.g., YouTube, Netflix)",Evening (6 PM–10 PM),I can work in any environment,Moderately productive,30–60 minutes,"Use some productivity tool (e.g, timers, blockers)",Turn off notifications altogether,"Yes, better/worse for analytical tasks (e.g., problem-solving, coding)","Yes, but i did not find them of any help",No
11/27/2024 20:36:03,18–24,Male,Undergraduate,Student,6–8,Smartphone,"Entertainment (gaming, streaming, social media, etc.)","Social Media (e.g., Facebook, Instagram, LinkedIn, Twitter)",Late night (10 PM–6 AM),Quite workplace,Moderately productive,Less than 10 minutes,Take regular breaks,Turn off notifications altogether,"No, it remains consistent","No, i do not use them",Yes
11/27/2024 20:53:03,18–24,Male,High school or below,Student,2–4,Smartphone,"Entertainment (gaming, streaming, social media, etc.)","Social Media (e.g., Facebook, Instagram, LinkedIn, Twitter)",Late night (10 PM–6 AM),Background noise/music,Moderately productive,Less than 10 minutes,Eliminate all distractions,Ignore them until my task is completed,"Yes, better/worse for creative tasks (e.g., writing, designing)","No, i do not use them",No
11/27/2024 20:57:05,Below 18,Male,Undergraduate,Student,2–4,Smartphone,"Entertainment (gaming, streaming, social media, etc.)","Social Media (e.g., Facebook, Instagram, LinkedIn, Twitter)",Afternoon (12 PM–6 PM),Quite workplace,"Extremely productive, i efficiently complete my tasks",10–30 minutes,"Use some productivity tool (e.g, timers, blockers)",Ignore them until my task is completed,"Yes, better/worse for repetitive tasks (e.g., data entry)","Yes, but i did not find them of any help",No
11/27/2024 21:00:49,18–24,Female,Undergraduate,Student,2–4,Smartphone,"Entertainment (gaming, streaming, social media, etc.)","Messaging (e.g., WhatsApp, Messenger)",Late night (10 PM–6 AM),I can work in any environment,"Unproductive, i might not have completed the task and got carried away",10–30 minutes,Take regular breaks,Spend time interacting with the notifications,"Yes, better/worse for analytical tasks (e.g., problem-solving, coding)","No, i do not use them",Yes
11/27/2024 21:08:07,18–24,Male,Undergraduate,Student,More than 10,Smartphone,"Entertainment (gaming, streaming, social media, etc.)","Social Media (e.g., Facebook, Instagram, LinkedIn, Twitter)",Evening (6 PM–10 PM),Collaborative/team setting,"Unproductive, i might not have completed the task and got carried away",30–60 minutes,"None, i prefer to work without any strategies",Check them briefly and resume my work,"No, it remains consistent","Yes, but i did not find them of any help",No
11/27/2024 21:08:12,Below 18,Male,Undergraduate,Student,4–6,Smartphone,"Entertainment (gaming, streaming, social media, etc.)","Social Media (e.g., Facebook, Instagram, LinkedIn, Twitter)",Late night (10 PM–6 AM),I can work in any environment,Moderately productive,30–60 minutes,Take regular breaks,Ignore them until my task is completed,"No, it remains consistent","No, i do not use them",No
11/27/2024 21:37:04,18–24,Male,Undergraduate,Student,2–4,Laptop/PC,Academic/Work-related,Gaming,Evening (6 PM–10 PM),Quite workplace,Moderately productive,30–60 minutes,Eliminate all distractions,Turn off notifications altogether,"No, it remains consistent","No, i do not use them",No
11/27/2024 21:37:13,18–24,Male,High school or below,Student,6–8,Smartphone,"Entertainment (gaming, streaming, social media, etc.)","Messaging (e.g., WhatsApp, Messenger)",Late night (10 PM–6 AM),Quite workplace,"Extremely productive, i efficiently complete my tasks",30–60 minutes,"Use some productivity tool (e.g, timers, blockers)",Ignore them until my task is completed,"No, it remains consistent","Yes, they are extremely helpful",Yes
11/27/2024 21:44:24,18–24,Male,High school or below,Student,8-10,Smartphone,"Entertainment (gaming, streaming, social media, etc.)","Streaming (e.g., YouTube, Netflix)",Evening (6 PM–10 PM),I can work in any environment,"Unproductive, i might not have completed the task and got carried away",10–30 minutes,Eliminate all distractions,Turn off notifications altogether,"Yes, better/worse for creative tasks (e.g., writing, designing)","Yes, they are extremely helpful",Yes
11/27/2024 21:47:09,18–24,Male,High school or below,Freelance/Entrepreneur,6–8,Laptop/PC,Academic/Work-related,Editing softwares,Late night (10 PM–6 AM),Quite workplace,Moderately productive,More than 1 hour,"None, i prefer to work without any strategies",Check them briefly and resume my work,"Yes, better/worse for creative tasks (e.g., writing, designing)","No, i do not use them",No
11/27/2024 23:22:02,Below 18,Male,Undergraduate,Student,Less than 2,Laptop/PC,"Entertainment (gaming, streaming, social media, etc.)",Gaming,Evening (6 PM–10 PM),Quite workplace,Moderately productive,30–60 minutes,Eliminate all distractions,Check them briefly and resume my work,"Yes, better/worse for repetitive tasks (e.g., data entry)","No, i do not use them",No
11/28/2024 2:29:28,18–24,Female,Graduate,Professional,More than 10,Laptop/PC,Academic/Work-related,"Messaging (e.g., WhatsApp, Messenger)",Afternoon (12 PM–6 PM),Quite workplace,Moderately productive,10–30 minutes,Take regular breaks,Check them briefly and resume my work,"Yes, better/worse for analytical tasks (e.g., problem-solving, coding)","No, i do not use them",No
11/28/2024 2:38:25,18–24,Prefer not to say,Undergraduate,Student,8-10,Smartphone,"Entertainment (gaming, streaming, social media, etc.)","Social Media (e.g., Facebook, Instagram, LinkedIn, Twitter)",Evening (6 PM–10 PM),I can work in any environment,"Unproductive, i might not have completed the task and got carried away",Less than 10 minutes,Take regular breaks,Turn off notifications altogether,"Yes, better/worse for analytical tasks (e.g., problem-solving, coding)","Yes, but i did not find them of any help",Yes
11/28/2024 3:58:52,18–24,Female,Graduate,Professional,8-10,Laptop/PC,Academic/Work-related,"Productivity (e.g., Microsoft Office, Notion)",Afternoon (12 PM–6 PM),I can work in any environment,Moderately productive,30–60 minutes,Take regular breaks,Ignore them until my task is completed,"Yes, better/worse for creative tasks (e.g., writing, designing)","No, i do not use them",No
11/28/2024 12:40:11,18–24,Male,Undergraduate,Student,6–8,Laptop/PC,Academic/Work-related,"Vscode, chatgpt ",Evening (6 PM–10 PM),Background noise/music,Moderately productive,10–30 minutes,Take regular breaks,Spend time interacting with the notifications,"Yes, better/worse for analytical tasks (e.g., problem-solving, coding)","No, i do not use them",No
11/28/2024 12:42:53,18–24,Male,Undergraduate,Student,More than 10,Smartphone,"Entertainment (gaming, streaming, social media, etc.)","Streaming (e.g., YouTube, Netflix)",Evening (6 PM–10 PM),Collaborative/team setting,Moderately productive,Less than 10 minutes,Take regular breaks,Spend time interacting with the notifications,"Yes, better/worse for repetitive tasks (e.g., data entry)","No, i do not use them",Yes
11/28/2024 12:44:00,18–24,Male,Undergraduate,Student,More than 10,Smartphone,"Entertainment (gaming, streaming, social media, etc.)","Messaging (e.g., WhatsApp, Messenger)",Late night (10 PM–6 AM),Quite workplace,Moderately productive,30–60 minutes,"None, i prefer to work without any strategies",Check them briefly and resume my work,"Yes, better/worse for creative tasks (e.g., writing, designing)","No, i do not use them",Yes
11/28/2024 12:55:42,18–24,Male,Undergraduate,Student,6–8,Smartphone,"Entertainment (gaming, streaming, social media, etc.)","Social Media (e.g., Facebook, Instagram, LinkedIn, Twitter)",Evening (6 PM–10 PM),I can work in any environment,Moderately productive,Less than 10 minutes,"None, i prefer to work without any strategies",Turn off notifications altogether,"Yes, better/worse for creative tasks (e.g., writing, designing)","No, i do not use them",No
11/28/2024 13:04:44,25–34,Male,Undergraduate,Professional,6–8,Laptop/PC,Academic/Work-related,"Social Media (e.g., Facebook, Instagram, LinkedIn, Twitter)",Afternoon (12 PM–6 PM),Quite workplace,"Extremely productive, i efficiently complete my tasks",10–30 minutes,Take regular breaks,Turn off notifications altogether,"Yes, better/worse for creative tasks (e.g., writing, designing)","Yes, they are extremely helpful",No
11/28/2024 13:30:24,35–44,Male,Masters ,Professional,More than 10,Laptop/PC,Academic/Work-related,"Productivity (e.g., Microsoft Office, Notion)",Afternoon (12 PM–6 PM),Quite workplace,Moderately productive,10–30 minutes,Take regular breaks,Turn off notifications altogether,"Yes, better/worse for creative tasks (e.g., writing, designing)","No, i do not use them",No
11/28/2024 13:44:10,25–34,Male,Undergraduate,Professional,6–8,Laptop/PC,Academic/Work-related,"Productivity (e.g., Microsoft Office, Notion)",Afternoon (12 PM–6 PM),Quite workplace,Moderately productive,10–30 minutes,Eliminate all distractions,Turn off notifications altogether,"Yes, better/worse for creative tasks (e.g., writing, designing)","Yes, they are extremely helpful",No
11/28/2024 13:54:09,25–34,Female,Undergraduate,Professional,4–6,Smartphone,Academic/Work-related,"Social Media (e.g., Facebook, Instagram, LinkedIn, Twitter)",Evening (6 PM–10 PM),Quite workplace,"Extremely productive, i efficiently complete my tasks",10–30 minutes,Eliminate all distractions,Turn off notifications altogether,"Yes, better/worse for creative tasks (e.g., writing, designing)","Yes, they are extremely helpful",No
11/28/2024 15:07:20,Below 18,Male,High school or below,Student,6–8,Smartphone,"Entertainment (gaming, streaming, social media, etc.)","Social Media (e.g., Facebook, Instagram, LinkedIn, Twitter)",Evening (6 PM–10 PM),I can work in any environment,"Unproductive, i might not have completed the task and got carried away",More than 1 hour,Take regular breaks,Turn off notifications altogether,"No, it remains consistent","Yes, they are extremely helpful",Yes
11/28/2024 15:39:29,18–24,Prefer not to say,High school or below,Student,6–8,Smartphone,"Entertainment (gaming, streaming, social media, etc.)","Streaming (e.g., YouTube, Netflix)",Afternoon (12 PM–6 PM),Quite workplace,Moderately productive,10–30 minutes,Take regular breaks,Check them briefly and resume my work,"Yes, better/worse for repetitive tasks (e.g., data entry)","Yes, but i did not find them of any help",No
11/28/2024 15:39:40,18–24,Male,High school or below,Student,More than 10,Smartphone,"Entertainment (gaming, streaming, social media, etc.)","Social Media (e.g., Facebook, Instagram, LinkedIn, Twitter)",Evening (6 PM–10 PM),Quite workplace,"Unproductive, i might not have completed the task and got carried away",10–30 minutes,"None, i prefer to work without any strategies",Check them briefly and resume my work,"Yes, better/worse for creative tasks (e.g., writing, designing)","No, i do not use them",No
11/28/2024 15:43:44,Below 18,Male,Undergraduate,Student,4–6,Smartphone,"Entertainment (gaming, streaming, social media, etc.)","Social Media (e.g., Facebook, Instagram, LinkedIn, Twitter)",Evening (6 PM–10 PM),Quite workplace,Moderately productive,More than 1 hour,Take regular breaks,Ignore them until my task is completed,"No, it remains consistent","Yes, but i did not find them of any help",No
11/28/2024 15:47:08,Below 18,Male,High school or below,Student,8-10,Smartphone,"Entertainment (gaming, streaming, social media, etc.)",Gaming,Evening (6 PM–10 PM),I can work in any environment,Moderately productive,More than 1 hour,Take regular breaks,Check them briefly and resume my work,"No, it remains consistent","No, i do not use them",Yes
11/28/2024 15:47:24,Below 18,Male,High school or below,Student,6–8,Smartphone,"Entertainment (gaming, streaming, social media, etc.)","Streaming (e.g., YouTube, Netflix)",Evening (6 PM–10 PM),Quite workplace,Moderately productive,30–60 minutes,"None, i prefer to work without any strategies",Check them briefly and resume my work,"Yes, better/worse for creative tasks (e.g., writing, designing)","No, i do not use them",No
11/28/2024 16:03:52,18–24,Male,High school or below,Student,4–6,Smartphone,"Reading books on my phone, learning languages","Messaging (e.g., WhatsApp, Messenger)",Afternoon (12 PM–6 PM),Quite workplace,Moderately productive,30–60 minutes,Eliminate all distractions,Check them briefly and resume my work,"No, it remains consistent","Yes, they are extremely helpful",No
11/28/2024 16:04:00,18–24,Male,High school or below,Student,4–6,Smartphone,"Entertainment (gaming, streaming, social media, etc.)","Streaming (e.g., YouTube, Netflix)",Afternoon (12 PM–6 PM),Quite workplace,Moderately productive,30–60 minutes,"None, i prefer to work without any strategies",Check them briefly and resume my work,"No, it remains consistent","No, i do not use them",No
11/28/2024 16:49:15,18–24,Male,High school or below,Student,6–8,Smartphone,"Entertainment (gaming, streaming, social media, etc.)",Gaming,Evening (6 PM–10 PM),I can work in any environment,Moderately productive,More than 1 hour,"None, i prefer to work without any strategies",Check them briefly and resume my work,"Yes, better/worse for creative tasks (e.g., writing, designing)","No, i do not use them",No
11/28/2024 17:28:36,35–44,Female,Master ,Professional,8-10,Laptop/PC,Academic/Work-related,"Productivity (e.g., Microsoft Office, Notion)",Evening (6 PM–10 PM),I can work in any environment,"Extremely productive, i efficiently complete my tasks",Less than 10 minutes,"None, i prefer to work without any strategies",Turn off notifications altogether,"Yes, better/worse for repetitive tasks (e.g., data entry)","No, i do not use them",No
11/28/2024 18:45:02,18–24,Male,High school or below,Student,4–6,Laptop/PC,Academic/Work-related,"Productivity (e.g., Microsoft Office, Notion)",Evening (6 PM–10 PM),I can work in any environment,"Extremely productive, i efficiently complete my tasks",More than 1 hour,"None, i prefer to work without any strategies",Ignore them until my task is completed,"No, it remains consistent","No, i do not use them",No
11/28/2024 18:53:35,18–24,Male,High school or below,Student,8-10,Laptop/PC,Both,"Gaming, social media, messaging ",Afternoon (12 PM–6 PM),I can work in any environment,"Extremely productive, i efficiently complete my tasks",30–60 minutes,Take regular breaks,Check them briefly and resume my work,"No, it remains consistent","Yes, they are extremely helpful",No
11/28/2024 18:55:59,18–24,Male,College ,Freelance/Entrepreneur,2–4,Laptop/PC,Academic/Work-related,"Productivity (e.g., Microsoft Office, Notion)",Morning (6 AM–12 PM),Quite workplace,"Extremely productive, i efficiently complete my tasks",More than 1 hour,Eliminate all distractions,Turn off notifications altogether,"Yes, better/worse for creative tasks (e.g., writing, designing)","Yes, they are extremely helpful",No
11/28/2024 19:21:41,25–34,Male,Undergraduate,Professional,2–4,Laptop/PC,"Entertainment (gaming, streaming, social media, etc.)","Messaging (e.g., WhatsApp, Messenger)",Afternoon (12 PM–6 PM),Background noise/music,Moderately productive,10–30 minutes,Eliminate all distractions,Ignore them until my task is completed,"Yes, better/worse for creative tasks (e.g., writing, designing)","Yes, but i did not find them of any help",No
11/28/2024 20:23:23,Below 18,Male,Undergraduate,Student,4–6,Laptop/PC,"Entertainment (gaming, streaming, social media, etc.)","Streaming (e.g., YouTube, Netflix)",Late night (10 PM–6 AM),Quite workplace,Moderately productive,30–60 minutes,Eliminate all distractions,Turn off notifications altogether,"Yes, better/worse for analytical tasks (e.g., problem-solving, coding)","No, i do not use them",No
11/28/2024 21:37:53,Below 18,Male,High school or below,Student,2–4,Smartphone,"Entertainment (gaming, streaming, social media, etc.)","Social Media (e.g., Facebook, Instagram, LinkedIn, Twitter)",Late night (10 PM–6 AM),Quite workplace,Moderately productive,More than 1 hour,Take regular breaks,Check them briefly and resume my work,"Yes, better/worse for creative tasks (e.g., writing, designing)","No, i do not use them",No
11/28/2024 21:49:01,18–24,Female,Undergraduate,Student,8-10,Laptop/PC,Academic/Work-related,"Streaming (e.g., YouTube, Netflix)",Evening (6 PM–10 PM),Quite workplace,Moderately productive,30–60 minutes,Eliminate all distractions,Turn off notifications altogether,"Yes, better/worse for creative tasks (e.g., writing, designing)","No, i do not use them",No
11/28/2024 22:25:40,18–24,Male,Undergraduate,Student,4–6,Smartphone,"Entertainment (gaming, streaming, social media, etc.)","Social Media (e.g., Facebook, Instagram, LinkedIn, Twitter)",Late night (10 PM–6 AM),I can work in any environment,"Extremely productive, i efficiently complete my tasks",More than 1 hour,Eliminate all distractions,Ignore them until my task is completed,"No, it remains consistent","No, i do not use them",No
11/28/2024 22:47:03,35–44,Male,Graduate,Private job,4–6,Laptop/PC,Office work,"Social Media (e.g., Facebook, Instagram, LinkedIn, Twitter)",Afternoon (12 PM–6 PM),Collaborative/team setting,"Unproductive, i might not have completed the task and got carried away",10–30 minutes,"Use some productivity tool (e.g, timers, blockers)",Turn off notifications altogether,"Yes, better/worse for analytical tasks (e.g., problem-solving, coding)","Yes, but i did not find them of any help",I won't say
11/29/2024 0:46:26,18–24,Female,Graduate,Professional,4–6,Smartphone,"Entertainment (gaming, streaming, social media, etc.)","Social Media (e.g., Facebook, Instagram, LinkedIn, Twitter)",Evening (6 PM–10 PM),Collaborative/team setting,Moderately productive,30–60 minutes,Take regular breaks,Check them briefly and resume my work,"No, it remains consistent","No, i do not use them",No
11/29/2024 11:42:38,18–24,Male,High school or below,Student,6–8,Smartphone,"Entertainment (gaming, streaming, social media, etc.)","Social Media (e.g., Facebook, Instagram, LinkedIn, Twitter)",Evening (6 PM–10 PM),Collaborative/team setting,Moderately productive,10–30 minutes,"None, i prefer to work without any strategies",Check them briefly and resume my work,"Yes, better/worse for creative tasks (e.g., writing, designing)","No, i do not use them",No
11/29/2024 11:45:57,18–24,Female,Undergraduate,Student,4–6,Laptop/PC,Academic/Work-related,"Productivity (e.g., Microsoft Office, Notion)",Evening (6 PM–10 PM),Background noise/music,"Unproductive, i might not have completed the task and got carried away",30–60 minutes,"None, i prefer to work without any strategies",Turn off notifications altogether,"Yes, better/worse for analytical tasks (e.g., problem-solving, coding)","No, i do not use them",Yes
11/29/2024 11:47:10,18–24,Female,Undergraduate,Student,6–8,Smartphone,"Entertainment (gaming, streaming, social media, etc.)","Social Media (e.g., Facebook, Instagram, LinkedIn, Twitter)",Late night (10 PM–6 AM),Background noise/music,Moderately productive,More than 1 hour,Eliminate all distractions,Ignore them until my task is completed,"Yes, better/worse for repetitive tasks (e.g., data entry)","Yes, they are extremely helpful",No
11/29/2024 11:48:35,18–24,Female,Undergraduate,Student,6–8,Smartphone,Both ,"Streaming (e.g., YouTube, Netflix)",Evening (6 PM–10 PM),Quite workplace,"Extremely productive, i efficiently complete my tasks",Less than 10 minutes,Take regular breaks,Turn off notifications altogether,"Yes, better/worse for analytical tasks (e.g., problem-solving, coding)","No, i do not use them",No
11/29/2024 11:49:21,18–24,Male,Undergraduate,Student,4–6,Smartphone,"Entertainment (gaming, streaming, social media, etc.)","Messaging (e.g., WhatsApp, Messenger)",Afternoon (12 PM–6 PM),Quite workplace,Moderately productive,30–60 minutes,"None, i prefer to work without any strategies",Check them briefly and resume my work,"Yes, better/worse for analytical tasks (e.g., problem-solving, coding)","No, i do not use them",No
11/29/2024 11:52:25,18–24,Female,Undergraduate,Student,8-10,Smartphone,"Entertainment (gaming, streaming, social media, etc.)","Social Media (e.g., Facebook, Instagram, LinkedIn, Twitter)",Evening (6 PM–10 PM),Collaborative/team setting,Moderately productive,30–60 minutes,Take regular breaks,Check them briefly and resume my work,"Yes, better/worse for creative tasks (e.g., writing, designing)","Yes, they are extremely helpful",No
11/29/2024 11:53:39,18–24,Male,Undergraduate,Student,6–8,Smartphone,Academic/Work-related,"Social Media (e.g., Facebook, Instagram, LinkedIn, Twitter)",Evening (6 PM–10 PM),Background noise/music,"Extremely productive, i efficiently complete my tasks",10–30 minutes,Take regular breaks,Check them briefly and resume my work,"Yes, better/worse for repetitive tasks (e.g., data entry)","Yes, but i did not find them of any help",No
